Rank,Publisher,Article Count,Likes,Shares,Comments,FB Total
1,huffingtonpost.com,24574,35481498,9980827,9386718,54849043
2,buzzfeed.com,5112,15506261,5414179,5186303,26106743
3,foxnews.com,65755,15128078,3974203,4386428,23488709
4,nbc.com,36084,12159306,2807273,3393660,18360239
5,ijreview.com,646,8852698,2827398,2328327,14008423
6,iflscience.com,280,8618636,1996769,1307769,11923174
7,tpnn.com,540,7684588,2138947,2085527,11909062
8,playbuzz.com,2172,3224428,4356292,4327633,11908353
9,theguardian.com,11196,6934282,2577127,2022404,11533813
10,abs-cbnnews.com,4538,8818229,704355,1306867,10829451
11,bleacherreport.com,8693,8634097,874889,894045,10403031
12,elitedaily.com,2280,6167175,1948269,1707428,9822872
13,nytimes.com,8637,5303995,2359797,1673490,9337282
14,cnn.com,10076,4514560,2181559,1917148,8613267
15,westernjournalism.com,829,5498657,1662805,1143225,8304687
16,dailymail.co.uk,17419,4059959,2158068,1949023,8167050
17,mtv.com,1999,7237186,429965,406000,8073151
18,upworthy.com,384,4590387,2231421,961629,7783437
19,mirror.co.uk,8186,5411619,904050,1121574,7437243
20,goal.com,7525,6519570,165813,256965,6942348
21,conservativetribune.com,309,5151502,874350,828468,6854320
22,gmanetwork.com,7558,5351479,499965,964055,6815499
23,eonline.com,4195,5792776,420079,449179,6662034
24,time.com,2672,4197964,1184552,756206,6138722
25,usatoday.com,12058,3681165,1152686,1177308,6011159
