Rank,Publisher,Article Count,Likes,Comments,Shares,Facebook Total
1,huffingtonpost.com,19205,20022595,5997424,6880830,32900849
2,buzzfeed.com,3036,13296740,6106444,5877207,25280391
3,foxnews.com,57688,9050584,3225959,3006622,15283165
4,ijreview.com,637,7942981,1941412,2438971,12323364
5,nbc.com,22671,6568290,2036372,1935747,10540409
6,theguardian.com,11521,4710500,1909663,2231599,8851762
7,abs-cbnnews.com,4604,6760597,933408,515770,8209775
8,nytimes.com,9016,4415649,1500803,2126808,8043260
9,dailymail.co.uk,13724,3334755,1803123,1813535,6951413
10,cnn.com,8928,3568822,1360080,1862813,6791715
11,upworthy.com,305,3268800,799292,1550787,5618879
12,elitedaily.com,2213,3264397,888172,1163168,5315737
13,theblaze.com,1469,2990898,985714,1195117,5171729
14,bbc.co.uk,14442,1865950,1209140,1736697,4811787
15,npr.org,6725,2743527,856670,1066916,4667113
16,bleacherreport.com,10446,3048562,706048,671580,4426190
17,viralnova.com,267,2568465,459883,1268198,4296546
18,thoughtcatalog.com,1972,2236659,803660,859747,3900066
19,usatoday.com,8703,2284377,743893,766259,3794529
20,espn.com,5359,2441169,824158,418820,3684147
21,yahoo.com,115957,1637767,749225,1286083,3673075
22,washingtonpost.com,8491,1958328,783294,887632,3629254
23,eonline.com,4400,2611261,342033,314129,3267423
24,time.com,3029,2005691,479862,724905,3210458
25,cbsnews.com,22220,1806523,760649,621853,3189025
