Rank,Publisher,Article Count,Likes,Shares,Comments,FB Total
1,buzzfeed.com,3.237,"17,651,652","9,507,462","13,080,114","40,239,228"
2,huffingtonpost.com,18.135,"17,404,750","6,757,957","7,401,636","31,564,343"
3,viralnova.com,200,"8,628,302","3,761,005","2,689,187","15,078,494"
4,nbcnews.com,16.758,"5,639,141","1,919,786","2,214,234","9,773,161"
5,dailymail.co.uk,10.68,"4,060,495","2,528,276","3,003,022","9,591,793"
6,cnn.com,6.992,"4,014,435","2,085,844","2,054,922","8,155,201"
7,foxnews.com,48.811,"4,200,178","1,828,506","1,970,401","7,999,085"
8,nytimes.com,7.678,"4,111,913","1,908,405","1,587,033","7,607,351"
9,ijreview.com,421,"4,782,156","1,486,402","1,214,372","7,482,930"
10,theguardian.com,12.152,"3,554,764","1,914,176","1,730,522","7,199,462"
11,bbc.co.uk,9.512,"2,582,599","2,260,578","1,752,673","6,595,850"
12,theblaze.com,1.666,"3,474,701","1,554,527","1,166,850","6,196,078"
13,upworthy.com,237,"3,294,528","1,585,760","817,569","5,697,857"
14,npr.org,2.463,"3,138,393","1,252,080","1,099,969","5,490,442"
15,usatoday.com,6.566,"2,627,532","1,000,316","1,021,146","4,648,994"
16,espn.com,6.346,"2,421,740","630,096","1,378,662","4,430,498"
17,bleacherreport.com,11.407,"2,515,688","848,991","931,137","4,295,816"
18,elitedaily.com,2.061,"2,500,208","997,685","744,933","4,242,826"
19,yahoo.com,110.93,"1,902,065","1,251,603","968,044","4,121,712"
20,thoughtcatalog.com,1.665,"1,874,212","729,785","1,042,934","3,646,931"
21,mashable.com,1.406,"1,958,671","1,001,265","680,302","3,640,238"
22,rt.com,1.378,"1,718,919","980,731","807,878","3,507,528"
23,businessinsider.com,3.851,"1,830,776","832,799","736,036","3,399,611"
24,washingtonpost.com,7.19,"1,708,350","843,067","821,337","3,372,754"
25,time.com,2.833,"1,578,592","770,390","856,088",3205070
